title,author,rating,publication_date
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,07/28/05
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,04/01/00
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,08/28/94
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,01/23/01
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,06/10/03
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,11/01/05
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,11/01/05
Changeling (Changeling  #1),Delia Sherman,3.6,08/17/06
The Changeling Sea,Patricia A. McKillip,4.06,04/14/03
The Changeling,Zilpha Keatley Snyder,4.17,06/08/04
The Changeling,Kate Horsley,3.55,04/12/05
The Changeling (Daughters of England  #15),Philippa Carr,3.98,08/28/90
The Known World,Edward P. Jones,3.83,08/29/06
The Known World,Edward P. Jones/Kevin R. Free,3.83,06/15/04
The Known World,Edward P. Jones,3.83,06/15/04
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,05/15/06
Artesia: Adventures in the Known World,Mark Smylie,4.13,12/14/05
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,06/01/82
Uncommon Carriers,John McPhee,3.95,05/16/06
Heirs of General Practice,John McPhee,4.17,04/01/86
The Control of Nature,John McPhee,4.24,09/01/90
Annals of the Former World,John McPhee,4.34,01/06/99
Coming Into the Country,John McPhee,4.22,04/01/91
La Place de la Concorde Suisse,John McPhee,3.92,04/01/94
Giving Good Weight,John McPhee,4.23,04/01/94
Rising from the Plains,John McPhee,4.23,11/01/87
The Heidi Chronicles,Wendy Wasserstein,3.75,03/01/02
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,07/02/91
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,03/29/06
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,03/14/06
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,09/01/03
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,01/28/97
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,11/15/02
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,11/15/04
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,04/28/03
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,10/16/03
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,05/10/04
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,08/19/04
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,06/15/87
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,07/01/87
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,07/15/87
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,07/01/04
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,04/16/84
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,08/29/06
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,08/15/87
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,06/12/02
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,09/29/96
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,09/13/05
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,11/01/04
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,05/19/06
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,02/07/00
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,05/03/05
eBay for Dummies,Marsha Collier,3.5,10/30/06
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,01/24/06
Starting an eBay Business for Dummies,Marsha Collier,3.55,09/17/04
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,06/06/06
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,05/31/04
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,04/25/05
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,07/29/06
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,05/03/05
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,05/03/05
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,01/01/07
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,05/31/04
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,11/05/02
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,01/30/03
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,11/26/65
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,07/01/03
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,11/23/04
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,08/26/04
Dinner with Anna Karenina,Gloria Goldreich,2.99,01/28/06
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,11/26/87
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,07/03/90
The Untouchable,John Banville,3.95,06/30/98
The Untouchables,Eliot Ness/Oscar Fraley,3.89,02/01/96
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,09/27/05
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,01/28/95
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,12/20/00
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,09/22/03
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,09/28/91
Wrinkles in Time,George Smoot/Keay Davidson,4.01,10/01/94
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,05/01/02
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,01/01/02
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,06/01/84
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,06/01/94
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,01/03/06
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,11/01/05
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,03/07/06
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,08/10/04
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,03/08/05
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,08/10/04
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,10/03/90
I am Charlotte Simmons,Tom Wolfe,3.42,08/30/05
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,10/01/01
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,10/03/96
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,02/01/64
Quiet Days in Clichy,Henry Miller,3.69,01/13/94
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,01/06/94
Tropic of Capricorn,Henry Miller,3.78,01/13/94
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,01/13/94
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,01/12/94
The Air-Conditioned Nightmare,Henry Miller,3.83,01/17/70
The Portrait of a Lady,Henry James/Patricia Crick,3.78,09/30/03
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,01/16/04
Writing,Marguerite Duras,3.75,05/06/99
The War,Marguerite Duras/Barbara Bray,3.85,08/01/94
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,03/12/86
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,07/01/99
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,04/01/98
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,01/01/98
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,02/21/95
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,03/03/03
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,06/14/11
Treasure Island,Robert Louis Stevenson,3.83,09/15/01
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,10/01/04
Treasure Island,Robert Louis Stevenson,3.83,06/01/05
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,07/01/03
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,09/03/02
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,01/31/06
100 Years of Lynchings,Ralph Ginzburg,4.61,11/22/96
Cien años de soledad,Gabriel García Márquez,4.07,01/01/90
On Beyond Zebra!,Dr. Seuss,4.04,09/12/55
The Wedding Clause,Debbie Raleigh,3.6,06/07/05
The Zebra Wall,Kevin Henkes,3.44,02/15/05
El perfume: Historia de un asesino,Patrick Süskind,4.02,06/01/02
The Door Into Summer,Robert A. Heinlein,4.01,06/17/97
Stranger in a Strange Land,Robert A. Heinlein,3.92,10/01/91
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,06/01/88
Job: A Comedy of Justice,Robert A. Heinlein,3.78,10/12/85
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,08/08/06
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,02/15/91
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,04/26/05
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,12/27/05
Douglas Adams's Starship Titanic,Terry Jones,3.6,10/27/98
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,07/01/03
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,01/12/11
On Bullshit,Harry G. Frankfurt,3.57,01/30/05
Another Bullshit Night in Suck City,Nick Flynn,3.78,09/12/05
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,06/12/93
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,02/02/98
Underworld,Don DeLillo,3.92,07/09/98
Libra,Don DeLillo,3.99,05/01/91
Americana,Don DeLillo,3.43,07/06/89
Running Dog,Don DeLillo,3.43,07/17/89
Cosmopolis,Don DeLillo,3.22,04/06/04
Great Jones Street,Don DeLillo,3.48,01/01/94
The Names,Don DeLillo,3.64,07/17/89
Against the Day,Thomas Pynchon,4.13,11/21/06
V.,Thomas Pynchon,3.96,07/05/05
The Crying of Lot 49,Thomas Pynchon,3.69,04/01/99
Gravity's Rainbow,Thomas Pynchon,4.01,01/01/00
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,01/03/04
Vineland,Thomas Pynchon,3.69,09/01/97
Gravity's Rainbow,Thomas Pynchon,4.01,10/31/06
Slow Learner: Early Stories,Thomas Pynchon,3.5,04/30/85
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,08/29/96
The Year of Magical Thinking,Joan Didion,3.89,10/04/05
The White Album,Joan Didion,4.17,10/01/90
A Book of Common Prayer,Joan Didion,3.8,04/11/95
Where I Was From,Joan Didion,3.86,09/14/04
Slouching Towards Bethlehem,Joan Didion,4.21,10/01/90
Democracy,Joan Didion,3.81,04/25/95
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,10/17/06
Play It As It Lays,Joan Didion/David Thomson,3.87,11/15/05
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,03/28/06
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,04/07/87
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,07/07/87
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,11/01/86
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,01/01/95
The Brooklyn Follies,Paul Auster,3.84,10/17/06
Moon Palace,Paul Auster,3.94,04/01/90
The Music of Chance,Paul Auster,3.9,12/01/91
Travels in the Scriptorium,Paul Auster,3.23,01/23/07
Leviathan,Paul Auster,3.96,09/01/93
The Red Notebook: True Stories,Paul Auster,3.77,06/17/02
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,11/07/02
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,12/27/05
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,02/01/06
Collapse of Complex Societies,Joseph A. Tainter,4.15,03/29/90
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,08/07/01
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,01/29/02
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,09/17/98
My Inventions,Nikola Tesla,4.01,05/17/06
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,02/01/01
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,10/01/94
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,12/01/00
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,06/27/06
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,10/11/04
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,06/13/00
Lord of the Flies,William Golding,3.68,10/11/05
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,09/12/06
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,01/01/89
The Lovely Bones,Alice Sebold,3.81,06/01/03
The Lovely Bones,Alice Sebold,3.81,04/01/04
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,05/13/90
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,02/17/05
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,08/01/06
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,05/15/05
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,06/13/06
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,07/02/04
Vice (V  #8),Jane Feather,3.51,05/02/96
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,04/25/06
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,04/01/05
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,11/19/90
Motorcycle Basics Techbook,John Harold Haynes,3.85,07/05/02
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,09/01/04
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,04/01/03
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,06/25/98
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,09/08/06
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,08/01/99
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,12/01/63
The Fountainhead,Ayn Rand,3.87,04/26/05
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,11/01/64
Anthem,Ayn Rand,3.63,12/01/99
We the Living,Ayn Rand/Leonard Peikoff,3.91,01/01/96
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,07/15/86
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,02/01/97
Sailing for Dummies,J.J. Isler/Peter Isler,3.95,06/01/06
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,07/25/06
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,09/17/02
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,04/01/04
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,01/01/04
The Natural,Bernard Malamud/Kevin Baker,3.63,07/07/03
Digging to America,Anne Tyler,3.55,05/02/06
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,01/21/04
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,10/07/04
The Plot Against America,Philip Roth,3.77,09/27/05
Naked Pictures of Famous People,Jon   Stewart,3.59,09/22/99
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,05/13/08
Crónica de una muerte anunciada,Gabriel García Márquez,3.97,10/14/03
Cien años de soledad,Gabriel García Márquez,4.07,02/07/06
Del amor y otros demonios,Gabriel García Márquez,3.98,02/07/06
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,10/12/04
Memoria de mis putas tristes,Gabriel García Márquez,3.6,10/19/04
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,09/02/04
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,05/15/05
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,04/01/06
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,09/01/04
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,05/01/06
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0,09/01/01
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,04/04/06
Cryptonomicon,Neal Stephenson,4.25,11/01/02
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,03/31/01
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,06/14/05
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,09/21/04
The Cobweb,Neal Stephenson/J. Frederick George,3.61,05/31/05
The Big U,Neal Stephenson,3.25,02/06/01
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,05/02/00
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,05/31/05
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,03/28/06
Snow Crash,Neal Stephenson/Guy Abadia,4.03,08/02/00
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,06/01/05
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,12/01/04
The Design of Everyday Things,Donald A. Norman,4.17,09/19/02
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,05/11/05
The Psychology of Everyday Things,Donald A. Norman,4.17,06/13/88
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,04/30/06
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,3.86,05/02/06
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,05/01/93
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,09/19/06
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,09/13/05
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,07/18/06
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,05/03/05
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,11/08/05
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,11/01/98
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,07/05/05
Pompeii,Robert   Harris,3.82,11/08/05
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.6,12/03/02
Of Mice and Men,John Steinbeck,3.87,01/08/02
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,09/06/05
The Westing Game,Ellen Raskin,4.02,04/12/04
The Egypt Game,Zilpha Keatley Snyder,3.83,07/07/09
Memoirs of a Geisha,Arthur Golden,4.11,11/22/05
Memoirs of a Geisha,Arthur Golden,4.11,11/15/05
Memoirs of a Geisha,Arthur Golden,4.11,12/01/05
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,10/20/05
Memoirs of a Geisha,Arthur Golden,4.11,06/04/98
Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,05/06/03
Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,02/01/06
Jungle Love,Margaret Johnson/Philip Prowse,3.41,08/01/02
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,01/01/05
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,04/01/06
Ángeles y demonios (Robert Langdon  #1),Dan Brown,3.89,12/01/05
Angeles & Demonios,Dan Brown/Raúl Amundaray,3.89,12/01/05
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,03/28/06
The Da Vinci Code,Dan Brown,3.84,03/28/06
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84,05/03/05
Deception Point,Dan Brown,3.71,04/01/06
Deception Point,Dan Brown,3.71,05/01/04
Deception Point,Dan Brown,3.71,08/01/05
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,02/01/05
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,10/01/98
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,09/01/05
Think and Grow Rich,Napoleon Hill,4.18,08/07/04
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,3.58,06/07/06
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,06/01/05
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,3.66,12/28/04
The Richest Man in Babylon,George S. Clason,4.26,02/01/08
The Richest Man in Babylon,George S. Clason,4.26,06/17/05
Shibumi,Trevanian/Gisela Stege,4.21,05/10/05
1776,David McCullough,4.07,07/04/06
1776,Peter  Stone/Sherman Edwards,4.22,11/18/76
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,3.62,07/15/00
The Good Earth (House of Earth  #1),Pearl S. Buck,3.98,03/04/09
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,03/15/05
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,07/05/05
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,3.74,04/04/02
Snow Flower and the Secret Fan,Lisa See,4.07,02/21/06
The Broker,John Grisham,3.78,09/26/06
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.51,07/12/75
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,3.75,07/25/06
